additifs;dangerosité
XXXX;0
E100;0
E100I;0
E100II;0
E101;0
E101I;0
E101II;0
E101III;0
E130;0
E140;0
E141;0
E141I;0
E141II;0
E150A;0
E150C;0
E153;0
E160C;0
E160D;0
E160DI;0
E160DII;0
E160DIII;0
E160E;0
E160F;0
E161;0
E161A;0
E161B;0
E161BI;0
E161BII;0
E161C;0
E161D;0
E161E;0
E161F;0
E161J;0
E162;0
E163;0
E163II;0
E163III;0
E163IV;0
E163V;0
E164;0
E165;0
E166;0
E170;0
E170I;0
E170II;0
E172;0
E172I;0
E172II;0
E172III;0
E175;0
E180;0
E182;0
E200;0
E201;0
E202;0
E203;0
E234;0
E262;0
E262I;0
E262II;0
E263;0
E270;0
E290;0
E297;0
E300;0
E301;0
E302;0
E303;0
E304;0
E305;0
E306;0
E307;0
E307A;0
E307B;0
E307C;0
E308;0
E309;0
E311;0
E312;0
E313;0
E314;0
E315;0
E316;0
E317;0
E318;0
E322;0
E322I;0
E322II;0
E323;0
E325;0
E326;0
E327;0
E328;0
E329;0
E331;0
E331I;0
E331II;0
E331III;0
E332;0
E332I;0
E332II;0
E333;0
E333I;0
E333II;0
E333III;0
E334;0
E335;0
E335I;0
E335II;0
E336;0
E336I;0
E336II;0
E337;0
E339;0
E339I;0
E339II;0
E339III;0
E340;0
E340I;0
E340II;0
E340III;0
E341;0
E341I;0
E341II;0
E341III;0
E342;0
E342I;0
E342II;0
E343;0
E343I;0
E343II;0
E343III;0
E344;0
E345;0
E349;0
E350;0
E350I;0
E350II;0
E351;0
E351I;0
E351II;0
E352;0
E352I;0
E352II;0
E353;0
E354;0
E356;0
E357;0
E359;0
E363;0
E364;0
E364I;0
E364II;0
E365;0
E366;0
E367;0
E368;0
E370;0
E380;0
E381;0
E383;0
E384;0
E387;0
E388;0
E389;0
E390;0
E391;0
E399;0
E400;0
E401;0
E402;0
E403;0
E404;0
E408;0
E410;0
E414;0
E417;0
E418;0
E419;0
E424;0
E426;0
E427;0
E428;0
E429;0
E440;0
E440A;0
E440B;0
E441;0
E442;0
E444;0
E446;0
E450;0
E450VIII;0
E451;0
E451I;0
E452;0
E452V;0
E452VI;0
E457;0
E458;0
E459;0
E467;0
E470;0
E471;0
E472A;0
E472B;0
E472C;0
E472D;0
E472E;0
E472F;0
E472G;0
E473;0
E473A;0
E474;0
E475;0
E479;0
E479B;0
E481;0
E481I;0
E481II;0
E482;0
E482I;0
E482II;0
E483;0
E484;0
E485;0
E486;0
E488;0
E489;0
E491;0
E492;0
E493;0
E494;0
E495;0
E496;0
E500;0
E500I;0
E500II;0
E500III;0
E501;0
E501I;0
E501II;0
E502;0
E503;0
E503I;0
E503II;0
E504;0
E504I;0
E504II;0
E505;0
E512;0
E535;0
E536;0
E537;0
E538;0
E539;0
E540;0
E542;0
E544;0
E545;0
E546;0
E550;0
E550I;0
E550II;0
E552;0
E553;0
E553I;0
E553II;0
E570;0
E572;0
E575;0
E576;0
E577;0
E578;0
E579;0
E580;0
E585;0
E586;0
E630;0
E631;0
E632;0
E633;0
E634;0
E635;0
E637;0
E638;0
E639;0
E640;0
E641;0
E642;0
E650;0
E900;0
E900A;0
E900B;0
E901;0
E902;0
E903;0
E904;0
E906;0
E907;0
E908;0
