Nom,Continent
AFGHANISTAN,ASIE
AFRIQUE DU SUD,AFRIQUE
ALBANIE,EUROPE
ALGERIE,AFRIQUE
ALLEMAGNE,EUROPE
ANDORRE,EUROPE
ANGOLA,AFRIQUE
ANTIGUA ET BARBUDA,AMERIQUE DU NORD
ARABIE SAOUDITE,ASIE
ARGENTINE,AMERIQUE DU SUD
ARMENIE,ASIE
AUSTRALIE,OCEANIE
AUTRICHE,EUROPE
AZERBAIDJAN,ASIE
BAHAMAS,AMERIQUE DU NORD
BAHREIN,ASIE
BANGLADESH,ASIE
BARBADE,AMERIQUE DU NORD
BELGIQUE,EUROPE
BELIZE,AMERIQUE DU NORD
BENIN,AFRIQUE
BHOUTAN,ASIE
BIELORUSSIE,EUROPE
BOLIVIE,AMERIQUE DU SUD
BOSNIE HERZEGOVINE,EUROPE
BOTSWANA,AFRIQUE
BRESIL,AMERIQUE DU SUD
BRUNEI,ASIE
BULGARIE,EUROPE
BURKINA FASO,AFRIQUE
BURUNDI,AFRIQUE
CABO VERDE,AFRIQUE
CAMBODGE,ASIE
CAMEROUN,AFRIQUE
CANADA,AMERIQUE DU NORD
CHILI,AMERIQUE DU SUD
CHINE,ASIE
CHYPRE,ASIE
COLOMBIE,AMERIQUE DU SUD
COMORES,AFRIQUE
COREE DU NORD,ASIE
COREE DU SUD,ASIE
COSTA RICA,AMERIQUE DU NORD
COTE D'IVOIRE,AFRIQUE
CROATIE,EUROPE
CUBA,AMERIQUE DU NORD
DANEMARK,EUROPE
DJIBOUTI,AFRIQUE
DOMINIQUE,AMERIQUE DU NORD
EGYPTE,AFRIQUE
EL SALVADOR,AMERIQUE DU NORD
EMIRATS ARABES UNIS,ASIE
EQUATEUR,AMERIQUE DU SUD
ERYTHREE,AFRIQUE
ESPAGNE,EUROPE
ESTONIE,EUROPE
ESWATINI,AFRIQUE
ETATS UNIS,AMERIQUE DU NORD
ETHIOPIE,AFRIQUE
FIDJI,OCEANIE
FINLANDE,EUROPE
FRANCE,EUROPE
GABON,AFRIQUE
GAMBIE,AFRIQUE
GEORGIE,ASIE
GHANA,AFRIQUE
GRECE,EUROPE
GRENADE,AMERIQUE DU NORD
GUATEMALA,AMERIQUE DU NORD
